code,no,credits,limitCount,name,teachers,date,startTime,endTime,campusName,rooms,roomIds,floor
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250221Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250228Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250307Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250314Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250321Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250328Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250404Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250411Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250418Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250425Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250502Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250509Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250516Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250523Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250530Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250606Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250613Friday,1830,2010,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250218Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250225Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250304Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250311Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250318Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250325Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250401Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250408Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250415Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250422Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250429Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250506Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250513Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250520Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250527Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250603Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0423,4.0,163,高等数学（B类）II,郭强辉,20250610Tuesday,1400,1645,八里台校区,八里台二主楼B,303,3
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250221Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250228Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250307Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250314Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250321Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250328Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250404Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250411Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250418Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250425Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250502Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250509Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250516Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250523Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250530Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250606Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250613Friday,1830,2010,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250218Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250225Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250304Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250311Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250318Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250325Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250401Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250408Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250415Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250422Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250429Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250506Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250513Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250520Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250527Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250603Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0419,4.0,145,高等数学（B类）II,徐言,20250610Tuesday,800,1045,八里台校区,八里台二主楼B,205,2
AMTD0032,0424,4.0,161,高等数学（B类）II,徐锬,20250221Friday,1830,2010,八里台校区,八里台二主楼B,404,4
